Title,Finished,Link,Note,Status,Tags,Total Videos,Video Duration
My AI Frontend Workflow: This is the EASIEST WORKFLOW to BUILD AMAZING UIs with AI!,No,https://www.youtube.com/watch?v=iZrVB05QQM0&type=snipo,,To Learn,AICodeKing,1,00:13:08
Clips That got me REPORTED in PUBG!,No,https://www.youtube.com/watch?v=qiIIjuJgiJA&type=snipo,,To Learn,TGLTN 2.0,1,00:11:41
